recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
11,"7) $1,000 +",1275.38,1,0,Rural,1,Web,Mens E-Mail,0,0,0.0
6,"6) $750 - $1,000",709.18,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
11,"7) $1,000 +",625.68,0,0,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
7,"6) $750 - $1,000",1054.61,1,0,Rural,0,Phone,No E-Mail,0,0,0.0
5,3) $200 - $350,404.98,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
1,"6) $750 - $1,000",535.75,0,0,Urban,1,Multichannel,Mens E-Mail,1,0,0.0
5,1) $0 - $100,859.66,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0
8,"7) $1,000 +",777.53,0,0,Surburban,0,Multichannel,Womens E-Mail,1,0,0.0
10,3) $200 - $350,1473.09,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
6,"6) $750 - $1,000",899.02,1,1,Surburban,0,Web,No E-Mail,0,0,0.0
5,2) $100 - $200,20.99,0,1,Rural,0,Multichannel,No E-Mail,0,0,0.0
3,2) $100 - $200,860.63,0,0,Rural,1,Multichannel,Mens E-Mail,0,0,0.0
1,1) $0 - $100,515.14,1,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
2,4) $350 - $500,714.44,0,1,Urban,1,Web,Womens E-Mail,1,0,0.0
3,1) $0 - $100,23.37,0,1,Rural,1,Multichannel,Mens E-Mail,1,0,0.0
4,2) $100 - $200,589.54,0,1,Urban,0,Multichannel,Mens E-Mail,0,0,0.0
11,5) $500 - $750,199.33,0,1,Rural,0,Phone,No E-Mail,0,0,0.0
1,"7) $1,000 +",1077.38,1,0,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
10,3) $200 - $350,763.48,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
7,4) $350 - $500,1139.58,1,1,Urban,1,Web,Mens E-Mail,1,0,0.0
10,1) $0 - $100,620.69,1,1,Rural,1,Multichannel,No E-Mail,0,0,0.0
8,1) $0 - $100,1287.3,1,1,Surburban,0,Web,No E-Mail,0,0,0.0
8,4) $350 - $500,406.81,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
10,3) $200 - $350,912.09,1,0,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
4,5) $500 - $750,782.42,1,1,Rural,0,Phone,No E-Mail,0,0,0.0
5,"7) $1,000 +",620.02,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
8,"7) $1,000 +",651.02,1,0,Urban,0,Multichannel,Mens E-Mail,0,0,0.0
11,2) $100 - $200,1386.57,0,0,Surburban,1,Web,Mens E-Mail,1,0,0.0
11,1) $0 - $100,1270.28,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
3,4) $350 - $500,241.39,0,0,Rural,1,Phone,No E-Mail,0,0,0.0
7,1) $0 - $100,230.29,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0
11,"7) $1,000 +",1382.79,1,0,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
4,4) $350 - $500,561.77,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
10,"6) $750 - $1,000",525.71,1,0,Rural,0,Web,Womens E-Mail,1,0,0.0
4,"7) $1,000 +",448.53,0,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0
10,5) $500 - $750,304.42,1,1,Surburban,0,Web,Mens E-Mail,1,0,0.0
4,3) $200 - $350,560.65,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
1,3) $200 - $350,35.75,1,0,Rural,0,Multichannel,Womens E-Mail,0,0,0.0
11,1) $0 - $100,678.05,1,0,Urban,0,Phone,Mens E-Mail,1,0,0.0
10,3) $200 - $350,744.1,0,0,Rural,1,Phone,Mens E-Mail,1,0,0.0
1,3) $200 - $350,780.75,1,1,Rural,1,Phone,Mens E-Mail,0,0,0.0
9,4) $350 - $500,1083.41,0,1,Urban,1,Multichannel,Womens E-Mail,1,0,0.0
9,"6) $750 - $1,000",514.87,1,1,Urban,0,Web,Womens E-Mail,0,0,0.0
7,4) $350 - $500,672.26,0,0,Surburban,0,Phone,No E-Mail,0,0,0.0
6,3) $200 - $350,213.31,0,0,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
6,3) $200 - $350,1143.89,1,1,Rural,1,Phone,Mens E-Mail,0,0,0.0
4,"7) $1,000 +",592.17,0,1,Surburban,0,Web,No E-Mail,1,0,0.0
4,"7) $1,000 +",256.92,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0
3,4) $350 - $500,156.62,1,1,Urban,1,Web,Womens E-Mail,0,0,0.0
5,5) $500 - $750,35.81,0,1,Surburban,0,Multichannel,Mens E-Mail,1,0,0.0
11,3) $200 - $350,449.57,1,1,Rural,1,Multichannel,Mens E-Mail,1,0,0.0
9,2) $100 - $200,938.0,0,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
5,1) $0 - $100,1096.26,0,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
1,"6) $750 - $1,000",1124.89,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
11,4) $350 - $500,1184.42,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
1,2) $100 - $200,1126.21,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
6,1) $0 - $100,309.64,1,0,Urban,0,Multichannel,Mens E-Mail,1,0,0.0
1,"7) $1,000 +",595.32,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
11,4) $350 - $500,308.69,0,0,Rural,0,Web,Mens E-Mail,0,0,0.0
11,1) $0 - $100,729.48,0,0,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
7,1) $0 - $100,29.9,0,0,Surburban,0,Phone,Womens E-Mail,1,0,0.0
6,1) $0 - $100,1439.96,0,1,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
4,3) $200 - $350,1494.74,1,1,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
3,2) $100 - $200,310.94,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
9,4) $350 - $500,975.6,1,0,Surburban,0,Multichannel,Womens E-Mail,1,0,0.0
1,"7) $1,000 +",1460.11,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0
4,1) $0 - $100,1140.62,1,1,Urban,1,Web,Mens E-Mail,1,0,0.0
6,3) $200 - $350,861.68,1,1,Urban,0,Web,Mens E-Mail,0,0,0.0
10,"7) $1,000 +",133.69,0,0,Rural,1,Phone,Mens E-Mail,1,0,0.0
5,"6) $750 - $1,000",846.92,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0
8,2) $100 - $200,389.01,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
5,"7) $1,000 +",583.61,0,1,Rural,1,Web,Womens E-Mail,1,0,0.0
4,"7) $1,000 +",414.63,0,0,Rural,1,Web,Mens E-Mail,1,0,0.0
11,1) $0 - $100,1488.75,1,1,Urban,0,Web,Womens E-Mail,0,0,0.0
7,1) $0 - $100,1298.64,0,1,Urban,0,Web,Mens E-Mail,0,0,0.0
9,5) $500 - $750,983.93,1,0,Urban,1,Web,No E-Mail,1,0,0.0
5,"7) $1,000 +",1361.4,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0
1,2) $100 - $200,140.72,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
1,4) $350 - $500,289.57,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0
6,3) $200 - $350,1249.64,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
11,3) $200 - $350,911.73,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
11,3) $200 - $350,960.33,1,1,Surburban,0,Web,No E-Mail,0,0,0.0
2,2) $100 - $200,1163.79,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
2,4) $350 - $500,928.12,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
6,"6) $750 - $1,000",659.61,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0.0
11,5) $500 - $750,319.64,1,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
9,1) $0 - $100,1402.45,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
3,"7) $1,000 +",887.49,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0
9,1) $0 - $100,922.04,0,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
9,5) $500 - $750,1085.43,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
4,2) $100 - $200,1451.06,0,0,Rural,1,Multichannel,Mens E-Mail,1,0,0.0
1,3) $200 - $350,876.27,1,1,Urban,1,Phone,Mens E-Mail,1,0,0.0
8,4) $350 - $500,967.92,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
1,2) $100 - $200,516.26,1,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0
3,1) $0 - $100,1186.36,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
1,2) $100 - $200,1494.17,0,0,Urban,0,Phone,No E-Mail,0,0,0.0
6,"6) $750 - $1,000",347.01,1,1,Surburban,1,Web,No E-Mail,0,0,0.0
3,4) $350 - $500,1042.4,1,1,Rural,1,Phone,Womens E-Mail,0,0,0.0
4,"6) $750 - $1,000",404.7,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0
6,"6) $750 - $1,000",1294.03,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
8,"6) $750 - $1,000",854.97,0,0,Surburban,0,Multichannel,No E-Mail,0,0,0.0
9,4) $350 - $500,1452.37,1,0,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
3,5) $500 - $750,985.18,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
8,4) $350 - $500,876.88,1,0,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
8,1) $0 - $100,1211.04,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
1,3) $200 - $350,582.12,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
7,1) $0 - $100,846.67,1,0,Rural,1,Multichannel,Womens E-Mail,1,0,0.0
2,2) $100 - $200,1093.45,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
4,5) $500 - $750,1491.14,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
2,3) $200 - $350,1107.99,0,1,Surburban,0,Multichannel,Womens E-Mail,1,0,0.0
3,"6) $750 - $1,000",1345.24,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
5,4) $350 - $500,1368.52,0,0,Rural,0,Phone,Mens E-Mail,0,0,0.0
10,5) $500 - $750,1052.81,0,0,Rural,0,Web,Womens E-Mail,0,0,0.0
5,"6) $750 - $1,000",1340.14,0,1,Urban,1,Web,Mens E-Mail,0,0,0.0
10,2) $100 - $200,993.9,1,1,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
7,3) $200 - $350,1334.84,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
11,2) $100 - $200,657.04,0,0,Rural,0,Web,No E-Mail,0,0,0.0
6,"7) $1,000 +",1150.63,1,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
8,1) $0 - $100,1450.59,1,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
3,5) $500 - $750,303.09,0,0,Rural,0,Multichannel,No E-Mail,0,0,0.0
10,4) $350 - $500,499.22,0,0,Rural,1,Web,Mens E-Mail,0,0,0.0
7,1) $0 - $100,1343.2,0,0,Urban,0,Web,Womens E-Mail,1,0,0.0
2,5) $500 - $750,1115.38,1,1,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
8,4) $350 - $500,1082.08,0,1,Surburban,1,Phone,Mens E-Mail,1,0,0.0
4,4) $350 - $500,414.78,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
8,4) $350 - $500,469.12,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
9,2) $100 - $200,95.9,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
5,"6) $750 - $1,000",392.25,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
2,3) $200 - $350,227.09,0,1,Rural,0,Web,No E-Mail,1,0,0.0
5,1) $0 - $100,116.31,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
8,"6) $750 - $1,000",31.13,1,0,Rural,1,Phone,Womens E-Mail,1,0,0.0
10,2) $100 - $200,1224.7,1,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
3,5) $500 - $750,110.2,1,1,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
4,"6) $750 - $1,000",1031.54,1,1,Urban,0,Web,Womens E-Mail,1,0,0.0
10,2) $100 - $200,490.76,0,0,Urban,0,Phone,Mens E-Mail,0,1,125.6
1,"7) $1,000 +",442.66,1,1,Urban,1,Phone,Mens E-Mail,0,0,0.0
8,2) $100 - $200,158.14,1,0,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
7,5) $500 - $750,923.55,1,1,Rural,1,Multichannel,Womens E-Mail,1,0,0.0
7,"6) $750 - $1,000",1259.51,0,1,Rural,1,Multichannel,No E-Mail,0,0,0.0
1,"6) $750 - $1,000",394.65,1,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
10,4) $350 - $500,830.73,1,1,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
2,3) $200 - $350,1480.76,0,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
3,1) $0 - $100,1002.34,1,1,Surburban,1,Phone,No E-Mail,0,0,0.0
2,1) $0 - $100,705.63,0,0,Urban,1,Phone,No E-Mail,0,0,0.0
10,"7) $1,000 +",154.03,0,1,Rural,1,Phone,Mens E-Mail,0,0,0.0
7,4) $350 - $500,1080.92,1,0,Rural,0,Phone,Mens E-Mail,1,0,0.0
5,"7) $1,000 +",286.38,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0.0
7,"6) $750 - $1,000",851.15,1,0,Surburban,0,Web,Womens E-Mail,1,0,0.0
9,5) $500 - $750,37.07,0,0,Urban,0,Web,Mens E-Mail,1,0,0.0
4,5) $500 - $750,1476.03,1,0,Rural,0,Web,No E-Mail,0,0,0.0
2,1) $0 - $100,1399.85,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
8,2) $100 - $200,1174.66,1,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0
7,"6) $750 - $1,000",832.73,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
8,3) $200 - $350,791.98,1,1,Rural,0,Phone,Womens E-Mail,0,0,0.0
10,1) $0 - $100,493.38,0,1,Surburban,1,Phone,No E-Mail,1,0,0.0
3,1) $0 - $100,1368.75,0,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
10,4) $350 - $500,1059.96,0,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
10,4) $350 - $500,942.25,0,1,Rural,1,Multichannel,Mens E-Mail,0,0,0.0
4,4) $350 - $500,356.36,0,0,Urban,0,Web,Mens E-Mail,0,0,0.0
3,"7) $1,000 +",678.29,0,1,Rural,0,Web,Womens E-Mail,1,0,0.0
6,"6) $750 - $1,000",787.83,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0
9,4) $350 - $500,542.03,0,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
6,3) $200 - $350,167.53,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0
2,3) $200 - $350,91.27,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
10,1) $0 - $100,1073.5,1,0,Urban,1,Web,Womens E-Mail,1,0,0.0
7,4) $350 - $500,351.68,1,1,Rural,0,Multichannel,No E-Mail,0,0,0.0
6,2) $100 - $200,207.48,0,0,Urban,0,Phone,Mens E-Mail,1,0,0.0
1,4) $350 - $500,1087.09,1,1,Rural,1,Web,No E-Mail,1,0,0.0
6,2) $100 - $200,665.28,1,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0
2,5) $500 - $750,500.58,1,1,Rural,1,Multichannel,Mens E-Mail,1,0,0.0
11,"6) $750 - $1,000",31.81,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
2,3) $200 - $350,374.47,0,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
4,1) $0 - $100,56.35,1,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0
3,"6) $750 - $1,000",54.16,0,0,Urban,0,Web,No E-Mail,1,0,0.0
8,"6) $750 - $1,000",701.23,1,1,Rural,0,Multichannel,No E-Mail,0,0,0.0
4,3) $200 - $350,365.35,1,0,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
10,4) $350 - $500,359.88,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0
5,"6) $750 - $1,000",539.44,1,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
9,3) $200 - $350,742.6,1,0,Rural,0,Web,No E-Mail,0,0,0.0
6,4) $350 - $500,797.51,1,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
2,1) $0 - $100,960.16,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0
8,1) $0 - $100,818.29,0,0,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
11,2) $100 - $200,628.38,0,0,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
6,1) $0 - $100,1453.19,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
1,"7) $1,000 +",773.0,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
3,"6) $750 - $1,000",1209.2,1,0,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
6,"7) $1,000 +",357.47,1,0,Rural,1,Web,Mens E-Mail,0,0,0.0
9,3) $200 - $350,366.97,1,1,Rural,0,Web,No E-Mail,1,0,0.0
9,2) $100 - $200,233.09,1,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
6,2) $100 - $200,315.66,1,0,Rural,1,Phone,No E-Mail,0,0,0.0
2,"6) $750 - $1,000",361.79,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0
1,5) $500 - $750,414.71,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
3,"7) $1,000 +",726.26,0,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
9,2) $100 - $200,1429.83,0,0,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
11,"7) $1,000 +",712.56,1,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
8,"6) $750 - $1,000",746.5,0,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
5,"7) $1,000 +",877.15,1,1,Urban,0,Web,Womens E-Mail,0,0,0.0
8,"6) $750 - $1,000",762.63,1,1,Rural,0,Web,Mens E-Mail,0,0,0.0
8,4) $350 - $500,45.82,1,0,Surburban,1,Web,Mens E-Mail,0,0,0.0
10,"6) $750 - $1,000",192.54,1,0,Rural,0,Web,Womens E-Mail,1,0,0.0
9,2) $100 - $200,1274.14,0,1,Surburban,0,Web,Mens E-Mail,0,0,0.0
7,2) $100 - $200,806.09,1,1,Urban,1,Multichannel,Mens E-Mail,1,0,0.0
6,"7) $1,000 +",856.27,1,1,Rural,0,Phone,Womens E-Mail,1,0,0.0
1,"7) $1,000 +",685.94,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0.0
11,"6) $750 - $1,000",813.99,0,1,Urban,0,Web,No E-Mail,0,0,0.0
10,3) $200 - $350,956.94,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
9,4) $350 - $500,1141.22,0,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
11,1) $0 - $100,368.3,0,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
9,3) $200 - $350,760.41,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
6,5) $500 - $750,1377.22,1,0,Rural,0,Web,Womens E-Mail,1,0,0.0
6,4) $350 - $500,877.37,1,1,Rural,0,Web,No E-Mail,0,0,0.0
5,2) $100 - $200,1265.68,0,1,Rural,1,Web,Mens E-Mail,1,0,0.0
2,"6) $750 - $1,000",1032.1,0,0,Urban,0,Web,Womens E-Mail,1,0,0.0
5,"6) $750 - $1,000",528.59,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
9,4) $350 - $500,1486.99,1,0,Surburban,1,Phone,Womens E-Mail,1,0,0.0
6,"6) $750 - $1,000",903.94,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
2,"6) $750 - $1,000",119.84,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.0
5,"6) $750 - $1,000",347.75,0,0,Rural,1,Multichannel,Womens E-Mail,1,0,0.0
10,1) $0 - $100,352.47,0,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
5,2) $100 - $200,620.03,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0
10,"6) $750 - $1,000",213.83,0,1,Rural,1,Web,No E-Mail,0,0,0.0
5,3) $200 - $350,1090.7,1,1,Rural,1,Phone,Mens E-Mail,0,0,0.0
2,2) $100 - $200,265.57,0,0,Surburban,0,Multichannel,No E-Mail,0,0,0.0
1,"6) $750 - $1,000",380.54,0,0,Surburban,0,Phone,No E-Mail,1,0,0.0
4,5) $500 - $750,1122.51,0,0,Surburban,0,Phone,No E-Mail,0,0,0.0
7,1) $0 - $100,321.09,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
4,5) $500 - $750,1313.97,0,1,Rural,0,Multichannel,Mens E-Mail,0,0,0.0
5,"6) $750 - $1,000",1127.56,0,0,Rural,1,Phone,Womens E-Mail,1,0,0.0
4,2) $100 - $200,385.83,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
5,3) $200 - $350,644.25,0,1,Surburban,1,Multichannel,Womens E-Mail,1,0,0.0
7,"6) $750 - $1,000",304.33,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
6,5) $500 - $750,48.76,1,0,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
11,5) $500 - $750,1156.32,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
7,2) $100 - $200,1252.57,1,0,Surburban,1,Phone,Mens E-Mail,1,0,0.0
2,"6) $750 - $1,000",916.46,0,0,Rural,0,Web,Mens E-Mail,0,0,0.0
9,1) $0 - $100,1237.2,1,1,Surburban,0,Multichannel,Mens E-Mail,1,0,0.0
10,4) $350 - $500,601.26,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
7,"6) $750 - $1,000",1106.65,0,0,Surburban,1,Phone,No E-Mail,0,0,0.0
1,1) $0 - $100,294.37,0,0,Surburban,0,Multichannel,No E-Mail,0,0,0.0
6,2) $100 - $200,592.76,0,0,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
