client_id,treatment_flg,target
c_000230,1,0
c_000231,1,0
c_000232,1,0
c_000233,1,0
c_000234,1,0
c_000235,0,0
c_000236,0,0
c_000237,1,0
c_000238,0,0
c_000239,0,1
c_000240,1,0
c_000241,0,1
c_000242,0,0
c_000243,0,0
c_000244,1,0
c_000245,1,0
c_000246,0,0
c_000247,0,0
c_000248,0,0
c_000249,0,0
c_000250,1,0
c_000251,0,0
c_000252,1,0
c_000253,0,0
c_000254,0,0
c_000255,1,0
c_000256,1,0
c_000257,0,0
c_000258,0,0
c_000259,0,1
c_000260,1,0
c_000261,1,1
c_000262,1,0
c_000263,0,0
c_000264,1,0
c_000265,0,0
c_000266,1,0
c_000267,0,1
c_000268,0,0
c_000269,0,0
c_000270,1,1
c_000271,0,0
c_000272,1,0
c_000273,1,0
c_000274,1,0
c_000275,0,0
c_000276,0,0
c_000277,1,0
c_000278,1,0
c_000279,1,0
c_000280,0,0
c_000281,1,0
c_000282,1,1
c_000283,1,0
c_000284,1,0
c_000285,0,0
c_000286,1,0
c_000287,1,0
c_000288,0,0
c_000289,0,0
c_000290,1,0
c_000291,1,0
c_000292,1,0
c_000293,0,0
c_000294,1,0
c_000295,0,0
c_000296,0,0
c_000297,0,0
c_000298,1,1
c_000299,1,0
c_000300,0,0
c_000301,0,0
c_000302,1,0
c_000303,0,0
c_000304,0,0
c_000305,1,0
c_000306,0,0
c_000307,1,0
c_000308,1,0
c_000309,1,0
c_000310,0,0
c_000311,1,0
c_000312,1,0
c_000313,1,0
c_000314,0,0
c_000315,1,0
c_000316,1,0
c_000317,0,1
c_000318,1,0
c_000319,1,0
c_000320,0,0
c_000321,0,1
c_000322,0,0
c_000323,1,0
c_000324,1,0
c_000325,0,1
c_000326,0,0
c_000327,1,1
c_000328,1,0
c_000329,1,0
c_000330,0,0
c_000331,1,1
c_000332,0,0
c_000333,1,0
c_000334,1,0
c_000335,1,0
c_000336,0,0
c_000337,1,0
c_000338,0,0
c_000339,0,0
c_000340,0,0
c_000341,0,0
c_000342,0,0
c_000343,0,0
c_000344,1,0
c_000345,0,0
c_000346,0,0
c_000347,0,1
c_000348,1,0
c_000349,0,0
c_000350,0,0
c_000351,1,0
c_000352,0,0
c_000353,1,0
c_000354,0,0
c_000355,0,0
c_000356,1,0
c_000357,0,0
c_000358,1,1
c_000359,1,0
c_000360,0,0
c_000361,0,0
c_000362,1,0
c_000363,1,0
c_000364,1,0
c_000365,1,0
c_000366,1,0
c_000367,0,0
c_000368,0,0
c_000369,0,0
c_000370,1,0
c_000371,1,1
c_000372,0,0
c_000373,1,0
c_000374,1,1
c_000375,0,0
c_000376,1,0
c_000377,1,1
c_000378,0,0
c_000379,1,0
c_000380,1,0
c_000381,1,0
c_000382,0,0
c_000383,0,0
c_000384,1,0
c_000385,0,0
c_000386,0,0
c_000387,0,0
c_000388,1,1
c_000389,0,0
c_000390,1,0
c_000391,1,0
c_000392,0,0
c_000393,1,0
c_000394,1,0
c_000395,0,0
c_000396,1,1
c_000397,0,0
c_000398,0,0
c_000399,1,0
c_000400,1,0
c_000401,0,0
c_000402,0,0
c_000403,0,0
c_000404,1,0
c_000405,1,0
c_000406,0,0
c_000407,1,0
c_000408,1,0
c_000409,1,1
c_000410,1,0
c_000411,0,0
c_000412,0,0
c_000413,0,1
c_000414,1,0
c_000415,1,0
c_000416,1,0
c_000417,1,0
c_000418,1,0
c_000419,0,0
c_000420,1,0
c_000421,1,1
c_000422,0,0
c_000423,0,0
c_000424,0,0
c_000425,0,0
c_000426,0,0
c_000427,1,1
c_000428,1,0
c_000429,0,0
c_000430,1,0
c_000431,1,0
c_000432,1,0
c_000433,1,0
c_000434,0,1
c_000435,1,0
c_000436,0,1
c_000437,1,0
c_000438,1,0
c_000439,1,1
c_000440,0,0
c_000441,1,1
c_000442,0,0
c_000443,0,0
c_000444,1,1
c_000445,0,0
c_000446,1,0
c_000447,0,0
c_000448,1,0
c_000449,0,0
c_000450,1,0
c_000451,1,0
c_000452,0,0
c_000453,0,0
c_000454,1,0
c_000455,1,1
c_000456,1,0
c_000457,1,1
c_000458,1,0
c_000459,0,0
c_000460,1,0
c_000461,0,0
c_000462,1,0
c_000463,1,0
c_000464,0,0
c_000465,1,0
c_000466,0,0
c_000467,1,0
c_000468,0,0
c_000469,1,0
c_000470,1,0
c_000471,0,0
c_000472,0,0
c_000473,0,0
c_000474,1,0
c_000475,1,0
c_000476,1,1
c_000477,1,0
c_000478,0,0
c_000479,0,1
c_000480,0,0
c_000481,1,0
c_000482,1,1
c_000483,1,0
c_000484,1,0
c_000485,0,0
c_000486,1,0
c_000487,1,0
c_000488,1,0
c_000489,1,0
c_000490,1,1
c_000491,1,1
c_000492,0,0
c_000493,1,0
c_000494,0,0
c_000495,1,1
c_000496,0,0
c_000497,0,0
c_000498,0,0
c_000499,1,0
c_000500,1,0
c_000501,0,0
c_000502,1,0
c_000503,0,1
c_000504,1,0
c_000505,1,1
c_000506,0,0
c_000507,1,0
c_000508,1,0
c_000509,0,0
c_000510,1,1
c_000511,0,0
c_000512,1,0
c_000513,0,0
c_000514,0,0
c_000515,1,0
c_000516,1,0
c_000517,1,0
c_000518,1,0
c_000519,1,0
c_000520,0,0
c_000521,0,0
c_000522,0,0
c_000523,0,0
c_000524,1,0
c_000525,0,0
c_000526,0,0
c_000527,1,0
c_000528,0,1
c_000529,0,0
c_000530,1,0
c_000531,0,0
c_000532,0,0
c_000533,1,0
c_000534,0,1
c_000535,0,0
c_000536,0,1
c_000537,0,0
c_000538,0,0
c_000539,1,0
c_000540,0,0
c_000541,0,0
c_000542,0,0
c_000543,1,0
c_000544,1,1
c_000545,1,0
c_000546,0,0
c_000547,0,0
c_000548,0,0
c_000549,0,0
c_000550,1,0
c_000551,1,0
c_000552,1,0
c_000553,1,0
c_000554,0,0
c_000555,1,0
c_000556,1,1
c_000557,1,0
c_000558,0,0
c_000559,0,1
c_000560,1,0
c_000561,1,0
c_000562,1,0
c_000563,0,0
c_000564,0,0
c_000565,0,0
c_000566,0,0
c_000567,1,0
c_000568,0,0
c_000569,1,0
c_000570,0,0
c_000571,0,1
c_000572,0,0
c_000573,1,0
c_000574,0,0
c_000575,1,0
c_000576,1,0
c_000577,0,0
c_000578,0,0
c_000579,0,0
c_000580,1,0
c_000581,1,0
c_000582,1,0
c_000583,1,0
c_000584,0,1
c_000585,0,0
c_000586,1,0
c_000587,1,0
c_000588,1,0
c_000589,1,1
c_000590,1,1
c_000591,0,0
c_000592,1,1
c_000593,0,0
c_000594,0,0
c_000595,1,0
c_000596,1,1
c_000597,1,0
c_000598,1,0
c_000599,1,1
c_000600,1,0
c_000601,0,0
c_000602,1,1
c_000603,1,0
c_000604,1,0
c_000605,1,0
c_000606,1,0
c_000607,0,0
c_000608,1,0
c_000609,0,0
c_000610,0,0
c_000611,0,0
c_000612,1,0
c_000613,0,0
c_000614,1,1
c_000615,0,0
c_000616,0,0
c_000617,0,0
c_000618,0,0
c_000619,1,0
c_000620,0,0
c_000621,1,0
c_000622,0,0
c_000623,1,0
c_000624,0,0
c_000625,1,0
c_000626,1,1
c_000627,1,0
c_000628,1,0
c_000629,0,0
c_000630,0,0
c_000631,0,0
c_000632,1,0
c_000633,1,0
c_000634,1,0
c_000635,0,0
c_000636,0,0
c_000637,1,0
c_000638,1,0
c_000639,1,0
c_000640,1,0
c_000641,1,1
c_000642,1,0
c_000643,0,0
c_000644,1,0
c_000645,1,0
c_000646,1,0
c_000647,0,1
c_000648,0,0
c_000649,1,0
c_000650,1,0
c_000651,0,0
c_000652,0,0
c_000653,0,0
c_000654,1,0
c_000655,0,0
c_000656,0,0
c_000657,0,0
c_000658,0,0
c_000659,0,0
c_000660,0,1
c_000661,1,0
c_000662,1,0
c_000663,1,1
c_000664,0,0
c_000665,1,0
c_000666,0,0
c_000667,0,0
c_000668,0,1
c_000669,1,0
c_000670,0,0
c_000671,1,0
c_000672,0,0
c_000673,0,0
c_000674,1,0
c_000675,0,0
c_000676,1,0
c_000677,0,0
c_000678,0,0
c_000679,0,0
c_000680,1,0
c_000681,1,0
c_000682,0,0
c_000683,0,0
c_000684,1,0
c_000685,0,1
c_000686,0,0
c_000687,1,0
c_000688,0,0
c_000689,1,0
c_000690,1,0
c_000691,0,0
c_000692,0,0
c_000693,0,0
c_000694,1,1
c_000695,1,0
c_000696,0,0
c_000697,1,0
c_000698,1,0
c_000699,0,0
c_000700,1,0
c_000701,1,0
c_000702,0,0
c_000703,0,0
c_000704,0,0
c_000705,1,1
c_000706,1,0
c_000707,0,0
c_000708,1,0
c_000709,1,0
c_000710,0,0
c_000711,1,0
c_000712,1,0
c_000713,1,0
c_000714,1,0
c_000715,0,0
c_000716,0,1
c_000717,0,0
c_000718,1,1
c_000719,0,0
c_000720,0,0
c_000721,0,0
c_000722,1,0
c_000723,1,0
c_000724,0,0
c_000725,0,0
c_000726,1,0
c_000727,0,0
c_000728,1,0
c_000729,0,0
c_000730,0,0
c_000731,0,0
c_000732,0,0
c_000733,1,0
c_000734,1,0
c_000735,0,0
c_000736,0,0
c_000737,0,1
c_000738,1,0
c_000739,1,0
c_000740,0,1
c_000741,0,0
c_000742,0,0
c_000743,1,1
c_000744,0,0
c_000745,1,0
c_000746,0,0
c_000747,0,0
c_000748,1,0
c_000749,1,1
c_000750,1,0
c_000751,1,1
c_000752,1,0
c_000753,1,1
c_000754,0,0
c_000755,0,0
c_000756,0,0
c_000757,0,0
c_000758,1,0
c_000759,0,0
c_000760,0,0
c_000761,1,0
c_000762,1,0
c_000763,0,0
c_000764,1,1
c_000765,1,0
c_000766,1,0
c_000767,0,0
c_000768,1,0
c_000769,0,0
c_000770,0,1
c_000771,0,0
c_000772,1,0
c_000773,1,0
c_000774,0,0
c_000775,0,1
c_000776,0,0
c_000777,0,1
c_000778,0,0
c_000779,1,0
c_000780,0,0
c_000781,1,0
c_000782,0,0
c_000783,1,0
c_000784,0,0
c_000785,1,0
c_000786,1,0
c_000787,0,0
c_000788,1,0
c_000789,1,0
c_000790,1,0
c_000791,0,0
c_000792,1,0
c_000793,0,0
c_000794,1,0
c_000795,1,0
c_000796,0,0
c_000797,0,0
c_000798,1,0
c_000799,0,0
c_000800,0,0
c_000801,0,0
c_000802,1,1
c_000803,0,1
c_000804,0,0
c_000805,1,0
c_000806,1,0
c_000807,1,0
c_000808,1,0
c_000809,0,0
c_000810,1,0
c_000811,0,1
c_000812,1,0
c_000813,0,0
c_000814,0,0
c_000815,0,0
c_000816,0,0
c_000817,0,0
c_000818,1,0
c_000819,1,0
c_000820,1,0
c_000821,1,0
c_000822,1,0
c_000823,1,0
c_000824,0,0
c_000825,0,0
c_000826,0,0
c_000827,0,0
c_000828,1,1
c_000829,1,1
c_000830,1,0
c_000831,1,0
c_000832,0,0
c_000833,1,0
c_000834,0,0
c_000835,1,0
c_000836,1,0
c_000837,0,0
c_000838,0,0
c_000839,0,0
c_000840,0,0
c_000841,1,0
c_000842,0,0
c_000843,1,0
c_000844,0,0
c_000845,0,0
c_000846,1,0
c_000847,0,0
c_000848,1,0
c_000849,1,0
c_000850,0,0
c_000851,1,0
c_000852,0,0
c_000853,1,0
c_000854,0,0
c_000855,0,0
c_000856,1,1
c_000857,1,0
c_000858,1,0
c_000859,1,0
c_000860,1,0
c_000861,1,0
c_000862,0,0
c_000863,0,0
c_000864,0,0
c_000865,0,0
c_000866,1,0
c_000867,1,0
c_000868,1,0
c_000869,0,0
c_000870,0,0
c_000871,1,0
c_000872,0,0
c_000873,1,1
c_000874,1,0
c_000875,1,0
c_000876,0,0
c_000877,0,0
c_000878,0,0
c_000879,0,0
c_000880,0,0
c_000881,0,0
c_000882,1,1
c_000883,0,0
c_000884,1,1
c_000885,1,1
c_000886,1,0
c_000887,0,0
c_000888,0,0
c_000889,1,0
c_000890,0,0
c_000891,1,0
c_000892,0,0
c_000893,1,1
c_000894,0,0
c_000895,1,0
c_000896,1,0
c_000897,0,0
c_000898,0,0
c_000899,1,0
c_000900,1,0
c_000901,1,0
c_000902,0,0
c_000903,0,0
c_000904,1,0
c_000905,0,0
c_000906,0,0
c_000907,0,0
c_000908,0,0
c_000909,1,0
c_000910,0,1
c_000911,1,0
c_000912,0,0
c_000913,0,0
c_000914,1,1
c_000915,1,1
c_000916,0,0
c_000917,0,0
c_000918,1,0
c_000919,1,0
c_000920,1,0
c_000921,0,0
c_000922,1,0
c_000923,1,0
c_000924,0,0
c_000925,1,0
c_000926,1,1
c_000927,1,0
c_000928,0,0
c_000929,0,0
c_000930,1,0
c_000931,0,0
c_000932,1,0
c_000933,0,0
c_000934,1,0
c_000935,0,0
c_000936,0,0
c_000937,1,1
c_000938,1,0
c_000939,0,0
c_000940,0,1
c_000941,0,0
c_000942,1,0
c_000943,0,0
c_000944,1,0
c_000945,1,1
c_000946,0,0
c_000947,0,0
c_000948,0,0
c_000949,0,1
c_000950,1,0
c_000951,1,0
c_000952,0,0
c_000953,1,0
c_000954,0,0
c_000955,1,0
c_000956,1,0
c_000957,1,0
c_000958,1,0
c_000959,0,0
c_000960,0,0
c_000961,1,0
c_000962,1,1
c_000963,0,0
c_000964,0,0
c_000965,1,0
c_000966,0,0
c_000967,1,0
c_000968,0,0
c_000969,0,0
c_000970,0,0
c_000971,1,0
c_000972,0,0
c_000973,1,0
c_000974,1,0
c_000975,1,1
c_000976,0,0
c_000977,0,0
c_000978,0,0
c_000979,1,0
c_000980,1,0
c_000981,1,0
c_000982,1,0
c_000983,0,0
c_000984,1,0
c_000985,0,0
c_000986,0,0
c_000987,1,0
c_000988,0,0
c_000989,0,0
c_000990,0,0
c_000991,1,0
c_000992,1,1
c_000993,0,1
c_000994,1,0
c_000995,1,0
c_000996,1,1
c_000997,1,0
c_000998,1,0
c_000999,1,0
c_001000,1,0
c_001001,1,0
c_001002,1,1
c_001003,1,0
c_001004,0,0
c_001005,0,0
c_001006,1,0
c_001007,1,0
c_001008,1,1
c_001009,1,0
c_001010,1,0
c_001011,1,0
c_001012,1,0
c_001013,1,1
c_001014,1,0
c_001015,1,0
c_001016,0,0
c_001017,1,0
c_001018,0,0
c_001019,0,0
c_001020,0,0
c_001021,0,0
c_001022,0,0
c_001023,1,0
c_001024,0,0
c_001025,0,0
c_001026,1,0
c_001027,1,0
c_001028,1,1
c_001029,1,1
c_001030,1,1
c_001031,1,0
c_001032,1,1
c_001033,0,0
c_001034,0,0
c_001035,0,0
c_001036,1,0
c_001037,0,0
c_001038,1,0
c_001039,1,0
c_001040,0,0
c_001041,0,0
c_001042,1,1
c_001043,1,1
c_001044,0,0
c_001045,0,0
c_001046,0,0
c_001047,1,1
c_001048,0,0
c_001049,0,0
c_001050,1,1
c_001051,0,0
c_001052,1,0
c_001053,0,0
c_001054,1,1
c_001055,0,1
c_001056,0,0
c_001057,0,0
c_001058,0,0
c_001059,0,0
c_001060,1,0
c_001061,0,0
c_001062,1,0
c_001063,0,0
c_001064,1,0
c_001065,1,0
c_001066,1,0
c_001067,1,0
c_001068,1,0
c_001069,0,0
c_001070,0,0
c_001071,0,0
c_001072,1,0
c_001073,1,0
c_001074,0,0
c_001075,1,0
c_001076,0,0
c_001077,0,0
c_001078,1,0
c_001079,1,1
c_001080,1,0
c_001081,0,0
c_001082,1,0
c_001083,0,0
c_001084,1,1
c_001085,1,0
c_001086,1,0
c_001087,1,0
c_001088,1,1
c_001089,1,0
c_001090,0,0
c_001091,1,1
c_001092,1,0
c_001093,0,0
c_001094,0,0
c_001095,0,0
c_001096,0,0
c_001097,0,0
c_001098,0,0
c_001099,0,0
c_001100,0,0
c_001101,1,0
c_001102,1,1
c_001103,0,0
c_001104,0,0
c_001105,0,0
c_001106,0,0
c_001107,1,0
c_001108,1,1
c_001109,0,0
c_001110,0,0
c_001111,1,0
c_001112,1,0
c_001113,0,0
c_001114,0,0
c_001115,1,0
c_001116,1,0
c_001117,0,0
c_001118,0,0
c_001119,0,0
c_001120,1,0
c_001121,0,0
c_001122,1,0
c_001123,0,0
c_001124,1,0
c_001125,0,0
c_001126,0,0
c_001127,1,0
c_001128,1,0
c_001129,1,1
c_001130,0,0
c_001131,1,0
c_001132,0,0
c_001133,1,0
c_001134,0,0
c_001135,1,0
c_001136,0,0
c_001137,0,0
c_001138,1,0
c_001139,1,0
c_001140,1,0
c_001141,1,0
c_001142,1,1
c_001143,0,1
c_001144,1,0
c_001145,1,1
c_001146,1,0
c_001147,1,0
c_001148,0,0
c_001149,0,0
c_001150,1,0
c_001151,1,0
c_001152,0,0
c_001153,1,0
c_001154,0,0
c_001155,1,0
c_001156,1,0
c_001157,1,0
c_001158,1,0
c_001159,0,0
c_001160,1,0
c_001161,1,0
c_001162,0,0
c_001163,0,0
c_001164,0,0
c_001165,0,1
c_001166,0,1
c_001167,0,0
c_001168,1,0
c_001169,0,0
c_001170,1,0
c_001171,0,0
c_001172,1,1
c_001173,1,0
c_001174,0,0
c_001175,0,0
c_001176,0,0
c_001177,0,0
c_001178,1,0
c_001179,1,0
c_001180,1,0
c_001181,1,0
c_001182,1,0
c_001183,1,1
c_001184,1,1
c_001185,0,1
c_001186,0,0
c_001187,1,0
c_001188,0,0
c_001189,1,0
c_001190,1,0
c_001191,1,0
c_001192,1,1
c_001193,1,0
c_001194,0,0
c_001195,1,0
c_001196,0,0
c_001197,0,0
c_001198,1,0
c_001199,0,0
c_001200,1,0
c_001201,0,0
c_001202,1,0
c_001203,0,0
c_001204,1,0
c_001205,0,0
c_001206,1,0
c_001207,1,1
c_001208,0,0
c_001209,0,0
c_001210,0,0
c_001211,1,0
c_001212,1,0
c_001213,1,0
c_001214,0,0
c_001215,0,0
c_001216,1,0
c_001217,1,0
c_001218,1,0
c_001219,0,0
c_001220,1,1
c_001221,1,1
c_001222,1,0
c_001223,0,0
c_001224,1,0
c_001225,0,0
c_001226,0,0
c_001227,1,1
c_001228,0,0
c_001229,0,0
c_001230,1,0
c_001231,1,0
c_001232,1,1
c_001233,1,0
c_001234,1,1
c_001235,0,0
c_001236,1,0
c_001237,1,1
c_001238,0,0
c_001239,0,0
c_001240,1,1
c_001241,0,0
c_001242,0,0
c_001243,1,0
c_001244,1,0
c_001245,1,0
c_001246,0,0
c_001247,1,1
c_001248,1,0
c_001249,0,0
c_001250,0,0
c_001251,0,0
c_001252,1,0
c_001253,1,0
c_001254,0,1
c_001255,1,0
c_001256,0,0
c_001257,0,0
c_001258,0,0
c_001259,0,0
c_001260,1,0
c_001261,0,0
c_001262,1,0
c_001263,0,0
c_001264,0,0
c_001265,0,0
c_001266,1,0
c_001267,0,1
c_001268,0,0
c_001269,0,0
c_001270,0,0
c_001271,0,0
c_001272,1,1
c_001273,1,0
c_001274,0,0
c_001275,0,0
c_001276,1,0
c_001277,0,0
c_001278,0,0
c_001279,1,0
c_001280,1,0
c_001281,0,0
c_001282,1,0
c_001283,1,0
c_001284,1,0
c_001285,1,0
c_001286,0,0
c_001287,0,0
c_001288,1,0
c_001289,1,0
c_001290,0,0
c_001291,1,0
c_001292,1,0
c_001293,1,0
c_001294,0,0
c_001295,1,0
c_001296,0,0
c_001297,0,0
c_001298,0,0
c_001299,0,1
c_001300,0,0
c_001301,0,0
c_001302,1,0
c_001303,0,0
c_001304,0,0
c_001305,0,0
c_001306,1,0
c_001307,0,0
c_001308,1,0
c_001309,1,0
c_001310,1,0
c_001311,1,0
c_001312,0,0
c_001313,0,0
c_001314,0,0
c_001315,1,1
c_001316,1,0
c_001317,1,0
c_001318,0,0
c_001319,1,0
c_001320,1,0
c_001321,0,0
c_001322,1,1
c_001323,1,0
c_001324,1,0
c_001325,1,0
c_001326,1,0
c_001327,1,1
c_001328,1,0
c_001329,0,0
c_001330,0,0
c_001331,0,0
c_001332,1,0
c_001333,0,0
c_001334,1,1
c_001335,0,0
c_001336,1,0
c_001337,0,0
c_001338,1,0
c_001339,1,0
c_001340,0,0
c_001341,0,0
c_001342,0,0
c_001343,1,0
c_001344,1,0
c_001345,0,0
c_001346,1,0
c_001347,0,0
c_001348,1,0
c_001349,1,0
c_001350,0,0
c_001351,0,0
c_001352,0,1
c_001353,0,0
c_001354,1,1
c_001355,1,0
c_001356,1,0
c_001357,1,0
c_001358,1,0
c_001359,0,0
c_001360,1,0
c_001361,1,0
c_001362,0,0
c_001363,0,1
c_001364,1,0
c_001365,1,0
c_001366,1,0
c_001367,0,0
c_001368,1,0
c_001369,1,0
c_001370,0,0
c_001371,0,1
c_001372,1,0
c_001373,0,0
c_001374,0,1
c_001375,0,0
c_001376,1,0
c_001377,0,0
c_001378,0,0
c_001379,1,0
c_001380,1,0
c_001381,1,0
c_001382,0,0
c_001383,0,0
c_001384,1,0
c_001385,1,0
c_001386,0,0
c_001387,0,0
c_001388,0,1
c_001389,0,0
c_001390,1,0
c_001391,1,1
c_001392,0,0
c_001393,0,0
c_001394,1,0
c_001395,0,0
c_001396,1,0
c_001397,1,0
c_001398,0,0
c_001399,1,1
c_001400,1,0
c_001401,0,1
c_001402,0,0
c_001403,1,0
c_001404,1,0
c_001405,0,0
c_001406,1,0
c_001407,1,0
c_001408,0,0
c_001409,0,0
c_001410,0,0
c_001411,0,0
c_001412,0,0
c_001413,0,0
c_001414,0,0
c_001415,1,0
c_001416,1,0
c_001417,1,1
c_001418,0,0
c_001419,1,0
c_001420,1,0
c_001421,1,1
c_001422,1,0
c_001423,0,0
c_001424,0,0
c_001425,1,0
c_001426,0,0
c_001427,1,0
c_001428,0,0
c_001429,1,1
c_001430,1,0
c_001431,1,1
c_001432,0,0
c_001433,1,0
c_001434,0,0
c_001435,0,0
c_001436,1,0
c_001437,1,1
c_001438,1,1
c_001439,1,0
c_001440,0,0
c_001441,1,1
c_001442,0,0
c_001443,0,0
c_001444,0,0
c_001445,1,0
c_001446,0,0
c_001447,1,0
c_001448,1,0
c_001449,0,0
c_001450,0,0
c_001451,1,0
c_001452,1,0
c_001453,1,1
c_001454,1,0
c_001455,0,0
c_001456,1,0
c_001457,1,0
c_001458,0,0
c_001459,0,0
c_001460,0,0
c_001461,1,0
c_001462,1,1
c_001463,1,0
c_001464,0,0
c_001465,0,0
c_001466,1,1
c_001467,0,1
c_001468,0,0
c_001469,0,0
c_001470,1,0
c_001471,1,0
c_001472,0,0
c_001473,0,0
c_001474,0,0
c_001475,1,0
c_001476,1,0
c_001477,1,0
c_001478,0,0
c_001479,0,0
c_001480,0,0
c_001481,1,0
c_001482,1,1
c_001483,0,0
c_001484,0,0
c_001485,0,0
c_001486,0,1
c_001487,0,0
c_001488,0,0
c_001489,1,0
c_001490,1,0
c_001491,1,1
c_001492,1,0
c_001493,1,0
c_001494,1,0
c_001495,1,0
c_001496,1,1
c_001497,0,0
c_001498,1,0
c_001499,0,0
c_001500,0,0
c_001501,1,0
c_001502,1,0
c_001503,0,1
c_001504,0,0
c_001505,0,0
c_001506,1,0
c_001507,0,0
c_001508,1,0
c_001509,1,0
c_001510,0,0
c_001511,0,0
c_001512,0,0
c_001513,1,0
c_001514,0,0
c_001515,0,0
c_001516,1,1
c_001517,1,0
c_001518,0,1
c_001519,1,0
c_001520,1,0
c_001521,0,0
c_001522,1,0
c_001523,0,0
c_001524,0,0
c_001525,1,0
c_001526,0,0
c_001527,0,0
c_001528,0,0
c_001529,1,0
c_001530,1,0
c_001531,1,0
c_001532,1,0
c_001533,0,0
c_001534,1,0
c_001535,1,0
c_001536,1,0
c_001537,0,0
c_001538,0,0
c_001539,1,0
c_001540,0,0
c_001541,0,0
c_001542,1,0
c_001543,0,0
c_001544,0,0
c_001545,1,0
c_001546,0,0
c_001547,1,0
c_001548,0,0
c_001549,1,0
c_001550,0,1
c_001551,0,0
