client_id,gender,age,average_amount,purchase_sum_3m,purchase_count_3m,days_since_first,days_since_last
c_000198,M,60.0,762.35,44753.95,41,609,100
c_000199,F,54.0,2077.53,46159.87,8,796,247
c_000200,F,76.0,1365.3,11014.64,23,1911,21
c_000201,M,28.0,69.94,42888.66,48,1498,176
c_000202,F,28.0,376.66,29300.82,0,537,248
c_000203,M,40.0,1325.16,8528.92,40,1408,33
c_000204,F,26.0,4744.93,32859.08,14,867,7
c_000205,F,19.0,4893.84,41446.98,43,178,324
c_000206,F,65.0,4985.98,3386.59,26,1976,243
c_000207,F,46.0,3621.08,8950.41,16,495,26
c_000208,M,53.0,2026.21,17200.37,22,1668,204
c_000209,F,59.0,464.87,14995.21,34,861,147
c_000210,F,31.0,1357.57,30559.29,48,1323,212
c_000211,F,79.0,1237.39,38886.0,44,1013,319
c_000212,M,27.0,243.68,18838.55,21,1390,280
c_000213,F,57.0,3010.94,46577.73,17,1245,194
c_000214,M,50.0,3798.16,2219.47,43,326,347
c_000215,M,26.0,522.32,13329.48,39,1632,331
c_000216,M,51.0,1316.68,41043.67,44,337,170
c_000217,F,49.0,4961.38,3881.89,2,665,42
c_000218,M,66.0,1841.97,449.56,41,1457,37
c_000219,M,21.0,191.05,72.61,43,825,53
c_000220,F,29.0,754.55,10947.59,30,453,9
c_000221,F,49.0,65.39,42402.1,0,1855,136
c_000222,M,41.0,4529.13,29371.57,48,1532,228
c_000223,F,63.0,675.84,21650.72,1,573,295
c_000224,F,70.0,3574.82,2441.35,27,1139,177
c_000225,F,59.0,501.36,13318.49,16,1875,288
c_000226,F,27.0,192.48,9150.13,44,168,240
c_000227,F,44.0,2387.63,699.61,16,1291,99
c_000228,U,52.0,3809.78,15824.69,13,536,356
c_000229,M,69.0,4379.51,14434.35,22,1386,24
c_000230,M,56.0,4651.34,12226.19,16,1866,35
c_000231,M,19.0,4802.97,46818.4,39,1053,24
c_000232,F,71.0,710.16,40115.19,22,700,33
c_000233,M,38.0,3465.12,3344.37,12,469,257
c_000234,F,50.0,4882.38,25225.53,14,525,344
c_000235,F,28.0,3012.57,12900.77,21,1486,68
c_000236,F,39.0,2465.92,13236.04,23,1554,162
c_000237,M,68.0,1428.45,43232.03,13,102,43
c_000238,M,53.0,3133.38,21927.93,21,1008,234
c_000239,F,36.0,2577.37,44453.91,16,1610,19
c_000240,F,60.0,1973.84,11383.33,28,1751,136
c_000241,M,,4361.02,88.69,43,1605,193
c_000242,F,69.0,1581.68,13308.78,22,1990,94
c_000243,F,79.0,1031.8,47188.38,27,730,287
c_000244,M,63.0,3761.68,143.13,45,1150,9
c_000245,F,63.0,1148.67,46619.27,27,1592,287
c_000246,M,29.0,1037.15,46583.51,18,1101,116
c_000247,M,33.0,915.39,9817.12,15,1088,320
c_000248,M,20.0,3202.58,1877.18,49,288,1
c_000249,M,56.0,3154.46,36598.88,14,1382,251
c_000250,F,57.0,164.57,49578.65,18,1616,97
c_000251,U,34.0,2199.35,3707.21,37,1812,37
c_000252,F,50.0,4268.54,21945.18,23,327,303
c_000253,F,,1484.7,26531.86,21,412,103
c_000254,M,44.0,1800.23,20103.54,41,155,201
c_000255,F,54.0,495.03,43162.87,22,1948,239
c_000256,U,63.0,4449.65,9108.43,24,1061,6
c_000257,M,70.0,2887.01,7453.99,46,1196,211
c_000258,F,54.0,1824.04,45079.66,10,360,85
c_000259,M,30.0,1206.03,38378.16,49,1976,173
c_000260,M,,4832.55,19089.81,29,1082,142
c_000261,M,33.0,240.67,14971.52,40,1118,63
c_000262,M,51.0,647.28,9937.95,32,1834,45
c_000263,F,60.0,3817.17,14038.62,32,155,67
c_000264,M,42.0,4568.61,3923.9,29,234,14
c_000265,M,78.0,4991.96,41417.66,32,400,331
c_000266,F,26.0,3214.61,48199.53,5,1909,16
c_000267,F,64.0,3229.24,45137.93,45,1378,15
c_000268,F,36.0,58.67,27845.61,6,1512,292
c_000269,F,50.0,2600.95,3397.41,39,1992,22
c_000270,F,62.0,2471.11,28928.98,2,744,309
c_000271,F,44.0,2875.52,15317.37,14,640,53
c_000272,M,57.0,2969.02,41117.47,33,1830,346
c_000273,M,41.0,3271.65,29281.15,9,35,11
c_000274,F,62.0,59.02,4412.35,40,1113,229
c_000275,M,76.0,2601.9,49052.78,2,1220,352
c_000276,F,59.0,1396.77,3192.22,5,923,171
c_000277,M,55.0,2107.1,16018.04,25,470,232
c_000278,M,58.0,715.2,36645.49,6,859,113
c_000279,M,25.0,199.1,41976.98,30,1940,167
c_000280,F,43.0,158.29,47546.3,21,1860,52
c_000281,M,53.0,1961.39,23869.08,19,408,329
c_000282,F,37.0,2077.53,4149.49,2,710,44
c_000283,F,68.0,3813.38,47739.38,47,82,203
c_000284,M,59.0,440.08,3569.69,41,411,290
c_000285,M,52.0,4846.53,19333.14,6,69,338
c_000286,M,25.0,3673.44,1167.14,42,768,136
c_000287,M,48.0,4295.62,27518.9,31,404,19
c_000288,F,34.0,3315.66,17436.1,32,1402,52
c_000289,M,18.0,2400.57,22928.56,9,1997,3
c_000290,F,36.0,4884.37,37089.18,6,1212,157
c_000291,F,41.0,622.61,42659.57,25,1018,6
c_000292,U,45.0,2528.67,19969.13,26,817,150
c_000293,M,20.0,1071.69,31851.99,35,48,295
c_000294,F,62.0,1495.25,4125.09,32,1000,262
c_000295,F,,2738.99,32987.92,14,218,167
c_000296,F,24.0,545.87,34767.43,10,1275,152
c_000297,F,61.0,3539.23,16645.56,25,588,9
c_000298,M,74.0,1741.13,16610.96,21,1834,131
c_000299,F,24.0,480.85,12261.78,21,400,339
c_000300,M,32.0,996.12,33949.89,31,137,116
c_000301,M,52.0,1441.4,4510.31,33,353,87
c_000302,F,75.0,885.12,20237.71,14,409,283
c_000303,M,31.0,3473.64,31406.4,48,1767,89
c_000304,M,55.0,2352.69,14093.63,10,1995,153
c_000305,M,23.0,2890.75,44371.66,40,931,290
c_000306,F,30.0,765.98,23781.88,16,179,354
c_000307,M,76.0,1551.12,18003.41,42,902,308
c_000308,F,,2114.15,49501.09,37,214,120
c_000309,F,67.0,3286.68,10320.28,2,1171,26
c_000310,M,67.0,2043.11,1436.04,26,144,173
c_000311,F,78.0,2763.41,46319.58,33,277,233
c_000312,F,78.0,538.16,8131.33,20,1222,31
c_000313,F,60.0,136.51,16388.44,48,817,210
c_000314,F,62.0,1946.67,28669.05,17,162,51
c_000315,M,55.0,1621.46,46030.83,24,1399,36
c_000316,M,68.0,4738.34,31881.59,35,831,120
c_000317,F,59.0,3389.51,17699.81,18,213,52
c_000318,F,71.0,3587.04,48505.24,8,607,321
c_000319,M,74.0,580.69,35810.85,35,1666,91
c_000320,M,19.0,4738.56,20553.69,13,1135,130
c_000321,M,47.0,1139.37,13731.85,29,1477,32
c_000322,M,79.0,464.23,39551.0,42,1190,148
c_000323,M,39.0,1183.47,5795.82,29,1087,155
c_000324,F,,3645.35,35703.29,45,1017,244
c_000325,F,46.0,4999.97,10752.46,10,1731,246
c_000326,F,69.0,4237.08,4797.53,35,1463,122
c_000327,M,78.0,836.13,28240.22,19,828,91
c_000328,F,19.0,266.64,44563.39,43,1725,321
c_000329,U,36.0,1897.44,7195.59,34,1560,213
c_000330,F,39.0,1853.36,2511.16,36,537,125
c_000331,F,40.0,3626.83,4713.01,49,308,196
c_000332,F,,3016.42,24274.12,42,1579,150
c_000333,M,78.0,1919.53,43077.05,27,737,237
c_000334,F,47.0,4281.25,44472.53,12,1569,94
c_000335,F,,3315.99,37730.11,10,1743,85
c_000336,M,44.0,3647.79,28759.67,10,726,334
c_000337,F,50.0,1608.48,34.56,16,948,12
c_000338,M,39.0,4175.28,41545.92,15,42,236
c_000339,F,74.0,756.48,21775.13,46,1602,86
c_000340,M,38.0,4267.44,22678.74,0,1148,9
c_000341,M,68.0,1259.15,45227.34,49,954,148
c_000342,F,18.0,1231.03,5675.91,2,1849,98
c_000343,F,58.0,3747.79,1667.72,21,1878,174
c_000344,F,77.0,92.53,23154.51,10,257,322
c_000345,F,62.0,313.39,25767.37,46,729,138
c_000346,M,18.0,1615.18,45374.93,10,803,173
c_000347,M,48.0,847.28,35850.39,46,1590,209
c_000348,M,37.0,4950.47,19064.93,14,1598,350
c_000349,F,73.0,4286.31,26911.68,9,194,246
c_000350,F,46.0,333.31,39364.79,47,1534,359
c_000351,F,61.0,1547.66,16141.19,8,875,209
c_000352,U,55.0,3184.83,18968.54,1,269,58
c_000353,M,48.0,3022.11,33371.58,35,1103,344
c_000354,F,26.0,1844.71,1020.19,35,1136,345
c_000355,M,68.0,2695.59,31756.0,42,1314,135
c_000356,M,35.0,1544.04,6833.2,45,1234,362
c_000357,F,,690.48,11196.25,34,159,284
c_000358,M,56.0,1831.54,29293.7,8,987,250
c_000359,M,20.0,156.87,44868.75,43,173,12
c_000360,F,35.0,3899.8,24221.21,25,1702,323
c_000361,F,,127.01,31348.35,11,1060,350
c_000362,M,24.0,2443.59,11544.18,12,407,229
c_000363,M,33.0,358.92,19983.37,42,988,349
c_000364,M,36.0,4998.75,32898.72,22,1100,23
c_000365,M,55.0,2574.29,24881.29,42,221,90
c_000366,M,79.0,3985.87,30052.5,16,768,308
c_000367,F,,1842.75,17764.68,18,1961,239
c_000368,F,63.0,2019.9,41763.03,24,603,218
c_000369,F,56.0,749.84,34346.46,39,1026,304
c_000370,M,42.0,908.19,23844.41,11,1226,100
c_000371,F,39.0,676.63,44184.03,8,1790,242
c_000372,F,36.0,1650.32,48919.04,24,65,86
c_000373,M,56.0,2606.38,11465.53,2,187,298
c_000374,M,29.0,541.82,1561.96,20,1841,16
c_000375,F,75.0,4405.68,537.0,44,1477,358
c_000376,F,69.0,1152.43,40191.44,48,1337,338
c_000377,F,35.0,3377.07,104.18,2,742,101
c_000378,F,19.0,436.78,49488.4,41,1621,28
c_000379,F,23.0,1292.95,28482.92,34,1563,124
c_000380,F,64.0,3500.96,48336.32,14,371,172
c_000381,F,68.0,367.39,39133.27,20,1572,198
c_000382,F,69.0,4073.49,35470.12,24,584,236
c_000383,M,60.0,939.69,12106.35,23,615,67
c_000384,U,25.0,4507.35,9333.6,22,1447,99
c_000385,F,32.0,4303.23,26218.85,22,654,286
c_000386,F,59.0,4534.12,5621.16,4,761,259
c_000387,F,58.0,4719.92,47299.86,47,390,362
c_000388,M,41.0,2926.19,19703.55,13,420,305
c_000389,M,56.0,1617.59,17336.32,49,1123,138
c_000390,U,60.0,279.89,15426.4,16,573,328
c_000391,F,54.0,3625.39,24353.7,20,251,140
c_000392,F,49.0,358.56,6601.91,14,1292,53
c_000393,M,19.0,492.09,16524.94,6,1153,296
c_000394,M,32.0,1634.28,49211.82,14,1813,41
c_000395,F,58.0,2194.76,19996.15,34,1325,207
c_000396,M,70.0,1151.39,30133.54,22,46,69
c_000397,M,30.0,4549.71,28075.83,8,1482,229
c_000398,F,34.0,3302.4,31711.12,19,159,13
c_000399,M,67.0,3596.83,6127.9,34,929,212
c_000400,M,47.0,3927.99,34777.67,0,574,142
c_000401,M,77.0,3015.78,33841.63,29,1928,283
c_000402,M,70.0,1615.81,16631.83,32,60,287
c_000403,M,34.0,4523.96,21866.15,29,568,48
c_000404,F,30.0,3603.74,13765.48,40,1788,1
c_000405,M,43.0,4919.91,36407.14,30,1837,73
c_000406,M,72.0,2107.03,18317.72,10,303,87
c_000407,F,48.0,4779.91,27782.39,45,1816,288
c_000408,F,21.0,3537.25,31186.66,18,1840,275
c_000409,M,66.0,3096.68,41300.69,0,928,194
c_000410,M,22.0,4347.45,6968.99,29,438,112
c_000411,F,38.0,548.41,21122.54,49,1297,130
c_000412,F,,4181.33,13744.23,25,531,43
c_000413,M,52.0,997.68,38989.89,22,182,166
c_000414,M,55.0,2777.84,16554.26,8,1222,21
c_000415,F,73.0,3278.34,27134.43,10,1889,305
c_000416,F,41.0,3938.3,27247.52,47,360,248
c_000417,F,73.0,2223.69,37458.69,22,1486,236
c_000418,F,53.0,1371.33,1970.49,2,701,109
c_000419,M,61.0,1381.21,13292.9,45,1150,337
c_000420,F,40.0,1466.97,14129.81,23,964,131
c_000421,M,39.0,1999.96,3324.21,41,542,6
c_000422,M,61.0,4978.1,36046.91,4,1936,353
c_000423,F,32.0,4833.84,45883.16,44,1747,83
c_000424,F,,2090.97,29055.77,23,780,42
c_000425,M,45.0,1919.28,31543.29,4,385,133
c_000426,F,60.0,1732.25,1304.26,14,486,229
c_000427,M,36.0,954.56,9885.34,9,1515,207
c_000428,M,27.0,3413.52,34585.55,36,200,23
c_000429,F,42.0,785.88,48331.0,28,1233,313
c_000430,M,56.0,3502.2,25406.33,0,938,82
c_000431,M,48.0,2568.66,3544.14,32,1230,93
c_000432,F,31.0,4011.21,14444.65,24,231,293
c_000433,F,68.0,768.95,1758.32,7,134,39
c_000434,F,56.0,2899.86,48246.68,17,511,110
c_000435,F,28.0,493.3,37714.85,28,1385,51
c_000436,M,29.0,3851.72,38977.22,12,1800,45
c_000437,M,77.0,1101.55,2792.54,13,902,300
c_000438,M,19.0,2375.25,48735.48,37,904,54
c_000439,F,47.0,2938.29,5122.47,15,1067,11
c_000440,F,51.0,857.97,37591.02,47,1892,305
c_000441,M,24.0,4366.17,6618.11,39,633,327
c_000442,F,28.0,2996.33,32156.75,49,212,229
c_000443,M,42.0,3102.67,31835.33,6,854,70
c_000444,M,19.0,1979.76,49645.86,40,833,302
c_000445,M,67.0,2435.09,23032.74,18,1435,129
c_000446,M,37.0,2750.56,7147.91,24,970,323
c_000447,F,46.0,1023.55,31383.06,44,1278,65
c_000448,M,22.0,4915.58,266.13,25,1521,61
c_000449,M,62.0,1823.46,25587.11,18,1413,58
c_000450,M,61.0,4711.22,31755.99,19,1872,275
c_000451,M,61.0,2025.87,40130.0,0,387,235
c_000452,F,73.0,108.43,40885.02,4,146,8
c_000453,U,29.0,1729.32,29637.69,20,872,36
c_000454,F,45.0,4582.61,18554.73,35,1176,202
c_000455,F,68.0,4892.32,10422.53,49,175,359
c_000456,F,32.0,1030.58,11457.15,11,123,78
c_000457,M,27.0,4316.84,10602.93,46,1716,171
c_000458,F,31.0,4829.3,20341.08,27,395,27
c_000459,M,25.0,2170.79,7438.87,29,440,318
c_000460,F,58.0,3270.99,13260.34,14,1178,352
c_000461,U,55.0,2812.86,12219.57,24,594,334
c_000462,F,18.0,4985.93,38379.35,10,1260,107
c_000463,M,73.0,540.61,11825.88,6,1327,33
c_000464,F,19.0,3653.16,10371.19,31,623,148
c_000465,F,32.0,3734.4,39841.24,43,1245,100
c_000466,M,26.0,4411.57,41661.87,49,655,131
c_000467,F,43.0,4215.13,3530.88,32,1978,349
c_000468,M,53.0,1274.61,49752.81,5,1852,339
c_000469,M,78.0,3853.86,20783.2,18,155,361
c_000470,M,53.0,1496.63,12566.25,17,677,98
c_000471,F,,2371.65,9690.27,23,1744,41
c_000472,M,,4253.18,42809.56,23,551,268
c_000473,F,65.0,2707.47,14402.67,1,956,333
c_000474,F,,1101.54,46448.0,19,1647,226
c_000475,M,24.0,4795.21,49027.7,29,1879,118
c_000476,M,45.0,4308.67,811.88,1,107,301
c_000477,F,61.0,2477.69,39810.85,24,871,68
c_000478,F,66.0,2992.17,594.39,1,821,89
c_000479,U,51.0,4666.76,26385.72,9,1802,252
c_000480,F,70.0,307.3,37022.95,12,1124,330
c_000481,F,74.0,4681.02,22735.93,21,1788,34
c_000482,F,38.0,189.78,12391.06,36,1753,260
c_000483,F,22.0,185.01,12711.84,3,548,93
c_000484,M,75.0,4513.56,3215.39,29,553,255
c_000485,M,19.0,4455.6,24136.48,24,1655,181
c_000486,F,74.0,668.36,11733.33,26,1307,175
c_000487,F,54.0,4757.87,15215.68,36,1888,2
c_000488,F,28.0,3263.95,12976.21,7,1090,0
c_000489,M,54.0,2117.99,23897.45,34,720,56
c_000490,F,77.0,4324.09,46319.4,27,779,293
c_000491,F,22.0,3314.26,1501.39,48,600,85
c_000492,F,18.0,323.64,7046.2,0,436,251
c_000493,M,31.0,3005.19,30299.72,11,1906,119
c_000494,M,53.0,953.4,34436.7,23,663,54
c_000495,M,23.0,119.59,3744.38,28,1234,260
c_000496,M,41.0,1822.28,2179.89,45,428,58
c_000497,F,66.0,4326.82,17066.61,11,1256,262
c_000498,M,28.0,75.59,16520.84,44,830,132
c_000499,M,21.0,4505.17,44157.03,16,776,169
c_000500,M,32.0,998.32,49752.79,24,1946,251
c_000501,F,69.0,3825.99,30806.59,20,1425,301
c_000502,U,19.0,2283.14,27738.41,40,323,13
c_000503,F,52.0,1980.01,6542.71,29,467,95
c_000504,F,49.0,1702.98,12158.61,31,1525,358
c_000505,F,74.0,3138.74,35891.69,27,1166,334
c_000506,F,62.0,1596.42,40652.46,13,215,40
c_000507,M,42.0,3562.5,6986.14,1,1319,62
c_000508,F,60.0,3734.83,17945.93,25,1680,303
c_000509,F,33.0,1446.12,31437.23,34,103,298
c_000510,M,60.0,1041.01,22283.56,23,1646,115
c_000511,F,52.0,3163.64,5485.47,47,914,114
